M N nhits nmiss rc rr rl ratio
32 8 10000 10000 0.0089385783392936 0.004500509579665959 0.004512133749667555 1.9861258333233114
32 32 1 1 2.1736699994653462e-05 2.0809149998240174e-05 3.20382707985118e-05 1.0445741414950505
32 32 1 100 0.00024951879191212356 2.4825370893813668e-05 3.591635418124497e-05 10.050959277885436
32 32 1 800 0.001834058417007327 5.065051668789238e-05 6.218904999550432e-05 36.21006333081978
32 32 1 3200 0.007278023329563439 0.00013434774170164018 0.00014609202500432729 54.173023211112046
32 32 1 10000 0.022595708398148416 0.0003726440409664065 0.0003836952499113977 60.63617263152586
32 32 100 1 0.00012006236251909286 0.0001564113459084183 0.00016756664169952274 0.7676064790682868
32 32 100 100 0.00035183329205028713 0.0001604527333052829 0.00017184784580022097 2.1927534969496407
32 32 100 800 0.0019551413750741632 0.00018613216248340904 0.00019738693749532104 10.50404910676539
32 32 100 3200 0.007338529590051621 0.0002703992500901222 0.0002817360421177 27.1396077748209
32 32 100 10000 0.022582762502133848 0.0005199570830445736 0.0005314281249884516 43.431973981202454
32 32 800 1 0.001036076500080526 0.0011157569161150604 0.001125935166142881 0.9285862226048549
32 32 800 100 0.0012684008749201893 0.001118727499851957 0.0011300512079615145 1.1337889477893757
32 32 800 800 0.0028500150004401805 0.0011460612080991268 0.0011575008339714259 2.4867912641134198
32 32 800 3200 0.008383972079027444 0.0012240296669770033 0.0012372959170024842 6.849484375434636
32 32 800 10000 0.023491158313117922 0.0014603303340263664 0.0014723232919350267 16.08619486000062
32 32 3200 1 0.004170477078296244 0.004356953750830144 0.004377231660764664 0.9572002175835881
32 32 3200 100 0.004398867499548942 0.004367223328445107 0.004379939581267536 1.0072458330440137
32 32 3200 800 0.006022904999554157 0.004381251248996704 0.004404133749194444 1.374699750655338
32 32 3200 3200 0.011411897500511258 0.004487847920972854 0.00449292958015576 2.542844076150745
32 32 3200 10000 0.02664030408486724 0.004708185000345111 0.0047164804209023714 5.658295942685875
32 32 10000 1 0.013041424169205128 0.013619993750471621 0.013632132499478757 0.9575205692552936
32 32 10000 100 0.013280168750789016 0.01361237999983132 0.013618543751072139 0.9755949180785124
32 32 10000 800 0.01490505708148703 0.013633250838611275 0.013644004999659955 1.0932870859585317
32 32 10000 3200 0.020125083299353717 0.013728071658406407 0.013743392920587212 1.4659803503451332
32 32 10000 10000 0.035835866699926555 0.0139967633318156 0.014001044998876751 2.5602966807668444
32 128 1 1 3.695342089049518e-05 3.310902500525117e-05 4.438732909038663e-05 1.116113231502114
32 128 1 100 0.0009462514161132276 3.715609579812735e-05 4.8493379191495475e-05 25.466922608185282
32 128 1 800 0.007327216670382768 6.297835840377956e-05 7.420812079217285e-05 116.34499304356328
32 128 1 3200 0.029289329191669822 0.0001472821957897395 0.00015844418751075865 198.86537564583404
32 128 1 10000 0.09055096248630434 0.0003864459169562906 0.0003977038338780403 234.31729645249743
32 128 100 1 0.00042807141691446305 0.0006091981672216207 0.0006201441248413175 0.7026800800579799
32 128 100 100 0.0013715761250350624 0.0006137131249997765 0.0006249652919359506 2.23488152552638
32 128 100 800 0.0077448837505653505 0.000639183749910444 0.0006507410830818116 12.116834559155306
32 128 100 3200 0.0292347916867584 0.0007242819170933217 0.0007363406668882817 40.36382932778864
32 128 100 10000 0.09048146249260754 0.0009617636669427156 0.0009742963328026235 94.078686482546
32 128 800 1 0.0040586224989965555 0.004672145422082394 0.004679983749520033 0.8686849685401297
